"sample_id","source_video_id","split"
"1-GgVRmAEoo.004","1-GgVRmAEoo","train"
"1Gn4GX8miWQ.000","1Gn4GX8miWQ","train"
"1Gn4GX8miWQ.001","1Gn4GX8miWQ","train"
"1Gn4GX8miWQ.002","1Gn4GX8miWQ","train"
"1Gn4GX8miWQ.003","1Gn4GX8miWQ","train"
"1Gn4GX8miWQ.004","1Gn4GX8miWQ","train"
"1Gn4GX8miWQ.005","1Gn4GX8miWQ","train"
"1hpZ2ecWqtI.002","1hpZ2ecWqtI","train"
"1hpZ2ecWqtI.003","1hpZ2ecWqtI","train"
"1hpZ2ecWqtI.005","1hpZ2ecWqtI","train"
"1izSTcQI7H4.000","1izSTcQI7H4","train"
"1izSTcQI7H4.004","1izSTcQI7H4","train"
"1jC4vsQsjwM.002","1jC4vsQsjwM","train"
"1jC4vsQsjwM.004","1jC4vsQsjwM","train"
"1jC4vsQsjwM.005","1jC4vsQsjwM","train"
"1Kb5d-w3YJ8.002","1Kb5d-w3YJ8","train"
"1Lv72Si4GnY.001","1Lv72Si4GnY","train"
"1m67onLoRwY.000","1m67onLoRwY","train"
"1m67onLoRwY.003","1m67onLoRwY","train"
"1mdMhaq5p4w.001","1mdMhaq5p4w","train"
"1mdMhaq5p4w.002","1mdMhaq5p4w","train"
"1mdMhaq5p4w.004","1mdMhaq5p4w","train"
"1mdMhaq5p4w.005","1mdMhaq5p4w","train"
"1mfrM-FT-5E.000","1mfrM-FT-5E","train"
"1mHjMNZZvFo.000","1mHjMNZZvFo","train"
"1mHjMNZZvFo.003","1mHjMNZZvFo","train"
"1mHjMNZZvFo.004","1mHjMNZZvFo","train"
"1mHjMNZZvFo.005","1mHjMNZZvFo","train"
"1mODTfLRGdI.000","1mODTfLRGdI","train"
"1mODTfLRGdI.001","1mODTfLRGdI","train"
"1mODTfLRGdI.003","1mODTfLRGdI","train"
"1mReUxIEuw0.000","1mReUxIEuw0","train"
"1mReUxIEuw0.005","1mReUxIEuw0","train"
"1OGu_7IljCo.004","1OGu_7IljCo","train"
"1pm5uoU85FI.000","1pm5uoU85FI","train"
"1pm5uoU85FI.001","1pm5uoU85FI","train"
"1pm5uoU85FI.003","1pm5uoU85FI","train"
"1q-N_zbsAg0.000","1q-N_zbsAg0","train"
"1q-N_zbsAg0.001","1q-N_zbsAg0","train"
"1q-N_zbsAg0.003","1q-N_zbsAg0","train"
"1q-N_zbsAg0.004","1q-N_zbsAg0","train"
"1RMdiCbNNh4.003","1RMdiCbNNh4","train"
"1RMdiCbNNh4.005","1RMdiCbNNh4","train"
"1S0SxmfbOus.002","1S0SxmfbOus","train"
"1sjXuXtx9-E.000","1sjXuXtx9-E","train"
"1tPH6PNeOSk.002","1tPH6PNeOSk","train"
"1tPH6PNeOSk.004","1tPH6PNeOSk","train"
"1UaqZEUUk9I.000","1UaqZEUUk9I","train"
"1UaqZEUUk9I.002","1UaqZEUUk9I","train"
"1uCO2d0pFg0.000","1uCO2d0pFg0","train"
"1W7XLdNpEgc.001","1W7XLdNpEgc","train"
"1W7XLdNpEgc.005","1W7XLdNpEgc","train"
"1Wh2mIFrGvk.001","1Wh2mIFrGvk","train"
"1wWMWbl6ILg.004","1wWMWbl6ILg","train"
"1XqMZQu_pP4.002","1XqMZQu_pP4","train"
"1yIGI42lzak.001","1yIGI42lzak","train"
"1yIGI42lzak.002","1yIGI42lzak","train"
"1yIGI42lzak.003","1yIGI42lzak","train"
"1yIGI42lzak.005","1yIGI42lzak","train"
"1yjRBwUiYxs.005","1yjRBwUiYxs","train"
"1YsZ4GPpyBA.004","1YsZ4GPpyBA","train"
"1YsZ4GPpyBA.005","1YsZ4GPpyBA","train"
"1ZqHFoxLz54.000","1ZqHFoxLz54","train"
"2_OOIcYfLV0.003","2_OOIcYfLV0","train"
"26ZnknvfdNM.001","26ZnknvfdNM","train"
"26ZnknvfdNM.002","26ZnknvfdNM","train"
"26ZnknvfdNM.003","26ZnknvfdNM","train"
"26ZnknvfdNM.004","26ZnknvfdNM","train"
"29UCGJldICw.005","29UCGJldICw","train"
"2AV8m02PjdU.000","2AV8m02PjdU","train"
"2AV8m02PjdU.002","2AV8m02PjdU","train"
"2AV8m02PjdU.003","2AV8m02PjdU","train"
"2AYq7CdNXNo.000","2AYq7CdNXNo","train"
"2AYq7CdNXNo.001","2AYq7CdNXNo","train"
"2AYq7CdNXNo.003","2AYq7CdNXNo","train"
"2AYq7CdNXNo.004","2AYq7CdNXNo","train"
"2bAsXLQjlt8.001","2bAsXLQjlt8","train"
"2bAsXLQjlt8.002","2bAsXLQjlt8","train"
"2bAsXLQjlt8.004","2bAsXLQjlt8","train"
"2bAsXLQjlt8.005","2bAsXLQjlt8","train"
"2ceHmUmguzk.000","2ceHmUmguzk","train"
"2ceHmUmguzk.001","2ceHmUmguzk","train"
"2ceHmUmguzk.002","2ceHmUmguzk","train"
"2ceHmUmguzk.005","2ceHmUmguzk","train"
"2d6btbaNdfo.004","2d6btbaNdfo","train"
"2DZb5yIc6Fg.001","2DZb5yIc6Fg","train"
"2DZb5yIc6Fg.002","2DZb5yIc6Fg","train"
"2DZb5yIc6Fg.003","2DZb5yIc6Fg","train"
"2f7rLXwzP3s.000","2f7rLXwzP3s","train"
"2f7rLXwzP3s.002","2f7rLXwzP3s","train"
"2Fgn78rYjPM.005","2Fgn78rYjPM","train"
"2fzLibPAtvI.004","2fzLibPAtvI","train"
"2fzLibPAtvI.005","2fzLibPAtvI","train"
"2GHz8LYflE0.000","2GHz8LYflE0","train"
"2HE6cw3HFPk.001","2HE6cw3HFPk","train"
"2HE6cw3HFPk.003","2HE6cw3HFPk","train"
"2hhqEWiv4eI.000","2hhqEWiv4eI","train"
"2hhqEWiv4eI.001","2hhqEWiv4eI","train"
"2hhqEWiv4eI.002","2hhqEWiv4eI","train"
"2hhqEWiv4eI.004","2hhqEWiv4eI","train"
"2IwWILRuuNU.003","2IwWILRuuNU","train"
"2IwWILRuuNU.004","2IwWILRuuNU","train"
"2IwWILRuuNU.005","2IwWILRuuNU","train"
"2kqPuht5jTg.002","2kqPuht5jTg","train"
"2kqPuht5jTg.004","2kqPuht5jTg","train"
"2kqPuht5jTg.005","2kqPuht5jTg","train"
"2KSBoJZMcMU.003","2KSBoJZMcMU","train"
"2KSBoJZMcMU.004","2KSBoJZMcMU","train"
"2KSBoJZMcMU.005","2KSBoJZMcMU","train"
"2-LDYe7OXZU.000","2-LDYe7OXZU","train"
"2-LDYe7OXZU.001","2-LDYe7OXZU","train"
"2-LDYe7OXZU.003","2-LDYe7OXZU","train"
"2-LDYe7OXZU.005","2-LDYe7OXZU","train"
"2Lgd2Ye-1L8.000","2Lgd2Ye-1L8","train"
"2mfmw63l88g.001","2mfmw63l88g","train"
"2mfmw63l88g.003","2mfmw63l88g","train"
"2mfmw63l88g.004","2mfmw63l88g","train"
"2mfmw63l88g.005","2mfmw63l88g","train"
"2mgj9ncREyA.000","2mgj9ncREyA","train"
"2mgj9ncREyA.005","2mgj9ncREyA","train"
"2NNYN1ZCJhw.003","2NNYN1ZCJhw","train"
"2OAA4slRc5M.004","2OAA4slRc5M","train"
"2oEUp9sGRGk.000","2oEUp9sGRGk","train"
"2oEUp9sGRGk.001","2oEUp9sGRGk","train"
"2oiXF5_gTyk.001","2oiXF5_gTyk","train"
"2oiXF5_gTyk.002","2oiXF5_gTyk","train"
"2oiXF5_gTyk.003","2oiXF5_gTyk","train"
"2P1FbMJLUAs.000","2P1FbMJLUAs","train"
"2P1FbMJLUAs.003","2P1FbMJLUAs","train"
"2P1FbMJLUAs.005","2P1FbMJLUAs","train"
"2pNKs0i3YkY.002","2pNKs0i3YkY","train"
"2PSGksTyrnI.001","2PSGksTyrnI","train"
"2PSGksTyrnI.003","2PSGksTyrnI","train"
"2PSGksTyrnI.004","2PSGksTyrnI","train"
"2PSGksTyrnI.005","2PSGksTyrnI","train"
"2q7ZwMoPvok.000","2q7ZwMoPvok","train"
"2q8orkMs2Jg.000","2q8orkMs2Jg","train"
"2q8orkMs2Jg.003","2q8orkMs2Jg","train"
"2q8orkMs2Jg.005","2q8orkMs2Jg","train"
"-2qsCrkXdWs.001","-2qsCrkXdWs","train"
"2r5NVi3SZ2I.000","2r5NVi3SZ2I","train"
"2RQGNwx_nlI.000","2RQGNwx_nlI","train"
"2rV3Ibtdnvs.000","2rV3Ibtdnvs","train"
"2SzC9dm4Yy4.002","2SzC9dm4Yy4","train"
"2T3oK1Gse2g.000","2T3oK1Gse2g","train"
"2T3oK1Gse2g.002","2T3oK1Gse2g","train"
"2TbU3Eg2i4A.003","2TbU3Eg2i4A","train"
"2TbU3Eg2i4A.004","2TbU3Eg2i4A","train"
"2TbU3Eg2i4A.005","2TbU3Eg2i4A","train"
"2TMl5EMrdVI.002","2TMl5EMrdVI","train"
"2TMl5EMrdVI.003","2TMl5EMrdVI","train"
"2TMl5EMrdVI.004","2TMl5EMrdVI","train"
"2TMl5EMrdVI.005","2TMl5EMrdVI","train"
"2TXrDZgbDHE.001","2TXrDZgbDHE","train"
"2TXrDZgbDHE.005","2TXrDZgbDHE","train"
"2uAJJH7B5aw.000","2uAJJH7B5aw","train"
"2uAJJH7B5aw.001","2uAJJH7B5aw","train"
"2uAJJH7B5aw.003","2uAJJH7B5aw","train"
"2UqnC_rFcRQ.001","2UqnC_rFcRQ","train"
"2UqnC_rFcRQ.002","2UqnC_rFcRQ","train"
"2UqnC_rFcRQ.003","2UqnC_rFcRQ","train"
"2WuhWF4fAOQ.001","2WuhWF4fAOQ","train"
"2WuhWF4fAOQ.002","2WuhWF4fAOQ","train"
"2WuhWF4fAOQ.003","2WuhWF4fAOQ","train"
"2WuhWF4fAOQ.004","2WuhWF4fAOQ","train"
"2x8GZaBY6TM.001","2x8GZaBY6TM","train"
"2x8GZaBY6TM.002","2x8GZaBY6TM","train"
"2x8GZaBY6TM.003","2x8GZaBY6TM","train"
"2yUnXroXyeI.003","2yUnXroXyeI","train"
"300gK3CnzW0.000","300gK3CnzW0","train"
"300gK3CnzW0.002","300gK3CnzW0","train"
"300gK3CnzW0.004","300gK3CnzW0","train"
"32XmVytuwQc.001","32XmVytuwQc","train"
"35-2f1y0guA.000","35-2f1y0guA","train"
"36NZ0sHWQFg.001","36NZ0sHWQFg","train"
"36sZ__mv_KY.003","36sZ__mv_KY","train"
"38fE5B4ghw0.000","38fE5B4ghw0","train"
"38fE5B4ghw0.002","38fE5B4ghw0","train"
"38fE5B4ghw0.003","38fE5B4ghw0","train"
"38fE5B4ghw0.004","38fE5B4ghw0","train"
"38fE5B4ghw0.005","38fE5B4ghw0","train"
"39BJkEXJpgc.001","39BJkEXJpgc","train"
"39BJkEXJpgc.003","39BJkEXJpgc","train"
"39BJkEXJpgc.005","39BJkEXJpgc","train"
"39o1zJFeM7E.001","39o1zJFeM7E","train"
"39o1zJFeM7E.002","39o1zJFeM7E","train"
"39o1zJFeM7E.003","39o1zJFeM7E","train"
"39o1zJFeM7E.004","39o1zJFeM7E","train"
"3AyjQQYmqU4.000","3AyjQQYmqU4","train"
"3AyjQQYmqU4.001","3AyjQQYmqU4","train"
"3AyjQQYmqU4.003","3AyjQQYmqU4","train"
"3b9fhd-EDaY.001","3b9fhd-EDaY","train"
"3ccY8jYkI5o.000","3ccY8jYkI5o","train"
"3ccY8jYkI5o.002","3ccY8jYkI5o","train"
"3ccY8jYkI5o.004","3ccY8jYkI5o","train"
"3ccY8jYkI5o.005","3ccY8jYkI5o","train"
"3df_Uk9EmwU.000","3df_Uk9EmwU","train"
"3df_Uk9EmwU.001","3df_Uk9EmwU","train"
"3df_Uk9EmwU.004","3df_Uk9EmwU","train"
"3df_Uk9EmwU.005","3df_Uk9EmwU","train"
"3DURnr95fMg.000","3DURnr95fMg","train"
"3DURnr95fMg.002","3DURnr95fMg","train"
"3DURnr95fMg.004","3DURnr95fMg","train"
"3g6Ab-BIbR4.001","3g6Ab-BIbR4","train"
"3gKpBq-1yG4.000","3gKpBq-1yG4","train"
"3gKpBq-1yG4.001","3gKpBq-1yG4","train"
"3gKpBq-1yG4.002","3gKpBq-1yG4","train"
"3gKpBq-1yG4.003","3gKpBq-1yG4","train"
"3gKpBq-1yG4.004","3gKpBq-1yG4","train"
"3gKpBq-1yG4.005","3gKpBq-1yG4","train"
"3gmc2kLV4Bo.002","3gmc2kLV4Bo","train"
"3GylAjrajHs.003","3GylAjrajHs","train"
"3GylAjrajHs.004","3GylAjrajHs","train"
"3HA2W1s4oP8.000","3HA2W1s4oP8","train"
"3HA2W1s4oP8.001","3HA2W1s4oP8","train"
"3HA2W1s4oP8.002","3HA2W1s4oP8","train"
"3HA2W1s4oP8.003","3HA2W1s4oP8","train"
"3hKgh9AB3tk.001","3hKgh9AB3tk","train"
"3hKgh9AB3tk.002","3hKgh9AB3tk","train"
"3hKgh9AB3tk.005","3hKgh9AB3tk","train"
"3J7Cl3FXs1o.001","3J7Cl3FXs1o","train"
"3J7Cl3FXs1o.004","3J7Cl3FXs1o","train"
"3JAFkk42zPs.004","3JAFkk42zPs","train"
"3JAFkk42zPs.005","3JAFkk42zPs","train"
"3JzvXA-Zfbs.000","3JzvXA-Zfbs","train"
"3JzvXA-Zfbs.001","3JzvXA-Zfbs","train"
"3JzvXA-Zfbs.002","3JzvXA-Zfbs","train"
"3JzvXA-Zfbs.003","3JzvXA-Zfbs","train"
"3K16KyiAZHw.004","3K16KyiAZHw","train"
"3LAaFUSGvsU.001","3LAaFUSGvsU","train"
"3LAaFUSGvsU.003","3LAaFUSGvsU","train"
"3LAaFUSGvsU.004","3LAaFUSGvsU","train"
"3lV-sr3NOUo.003","3lV-sr3NOUo","train"
"3lV-sr3NOUo.004","3lV-sr3NOUo","train"
"3nxH1f6IQjQ.000","3nxH1f6IQjQ","train"
"3OoQBXWTGfE.000","3OoQBXWTGfE","train"
"3OoQBXWTGfE.001","3OoQBXWTGfE","train"
"3OoQBXWTGfE.002","3OoQBXWTGfE","train"
"3OoQBXWTGfE.004","3OoQBXWTGfE","train"
"3orJLMVqWYw.000","3orJLMVqWYw","train"
"3orJLMVqWYw.004","3orJLMVqWYw","train"
"3P_D_bd-_NM.000","3P_D_bd-_NM","train"
"3P_D_bd-_NM.001","3P_D_bd-_NM","train"
"3P_D_bd-_NM.003","3P_D_bd-_NM","train"
"3P_D_bd-_NM.005","3P_D_bd-_NM","train"
"3pJZOCtAzYE.001","3pJZOCtAzYE","train"
"3Q3SB1dVAng.000","3Q3SB1dVAng","train"
"3Q3SB1dVAng.001","3Q3SB1dVAng","train"
"3Q3SB1dVAng.002","3Q3SB1dVAng","train"
"3Q3SB1dVAng.003","3Q3SB1dVAng","train"
"3Q3SB1dVAng.005","3Q3SB1dVAng","train"
"3R2LrAKCWr8.001","3R2LrAKCWr8","train"
"3R2LrAKCWr8.002","3R2LrAKCWr8","train"
"3RhBqNzCMG8.001","3RhBqNzCMG8","train"
"3S72dDIm1fM.000","3S72dDIm1fM","train"
"3S72dDIm1fM.001","3S72dDIm1fM","train"
"3S8QUGYVf_w.000","3S8QUGYVf_w","train"
"3S8QUGYVf_w.001","3S8QUGYVf_w","train"
"3S8QUGYVf_w.003","3S8QUGYVf_w","train"
"3S8QUGYVf_w.004","3S8QUGYVf_w","train"
"3Sj-GZ3YXWs.000","3Sj-GZ3YXWs","train"
"3Sj-GZ3YXWs.001","3Sj-GZ3YXWs","train"
"3Sj-GZ3YXWs.002","3Sj-GZ3YXWs","train"
"3Sj-GZ3YXWs.004","3Sj-GZ3YXWs","train"
"3Sj-GZ3YXWs.005","3Sj-GZ3YXWs","train"
"3taD1fEPfC8.001","3taD1fEPfC8","train"
"3taD1fEPfC8.002","3taD1fEPfC8","train"
"3taD1fEPfC8.003","3taD1fEPfC8","train"
"3taD1fEPfC8.004","3taD1fEPfC8","train"
"3tPq9fNOXZQ.001","3tPq9fNOXZQ","train"
"3tPq9fNOXZQ.002","3tPq9fNOXZQ","train"
"3tPq9fNOXZQ.003","3tPq9fNOXZQ","train"
"3tPq9fNOXZQ.005","3tPq9fNOXZQ","train"
"3Vr5-zedeWk.000","3Vr5-zedeWk","train"
"3Vr5-zedeWk.002","3Vr5-zedeWk","train"
"3Vr5-zedeWk.003","3Vr5-zedeWk","train"
"3Vr5-zedeWk.004","3Vr5-zedeWk","train"
"3Vr5-zedeWk.005","3Vr5-zedeWk","train"
"3VTL2kFt17M.000","3VTL2kFt17M","train"
"3VTL2kFt17M.002","3VTL2kFt17M","train"
"3VTL2kFt17M.004","3VTL2kFt17M","train"
"3VTL2kFt17M.005","3VTL2kFt17M","train"
"3VyriB3isO8.001","3VyriB3isO8","train"
"3VyriB3isO8.004","3VyriB3isO8","train"
"3wgZrRMosvY.002","3wgZrRMosvY","train"
"3wgZrRMosvY.003","3wgZrRMosvY","train"
"3WmWJ1lNy-U.000","3WmWJ1lNy-U","train"
"3WmWJ1lNy-U.001","3WmWJ1lNy-U","train"
"3WoXkI06zGk.001","3WoXkI06zGk","train"
"3WoXkI06zGk.002","3WoXkI06zGk","train"
"3WoXkI06zGk.003","3WoXkI06zGk","train"
"3WPXm_5f4Lw.002","3WPXm_5f4Lw","train"
"3wRj39GKLJ0.001","3wRj39GKLJ0","train"
"3y3au0hVfm8.001","3y3au0hVfm8","train"
"3ySH8eJQRCI.001","3ySH8eJQRCI","train"
"3ySH8eJQRCI.002","3ySH8eJQRCI","train"
"3ySH8eJQRCI.003","3ySH8eJQRCI","train"
"3ySH8eJQRCI.004","3ySH8eJQRCI","train"
"3ySH8eJQRCI.005","3ySH8eJQRCI","train"
"3yU-7AXnFCM.002","3yU-7AXnFCM","train"
"3yU-7AXnFCM.003","3yU-7AXnFCM","train"
"3zAyM2edy1g.000","3zAyM2edy1g","train"
"3zAyM2edy1g.001","3zAyM2edy1g","train"
